mz,time,mz.1,Name,delta_ppm_vec,mode,ESI,F1,F2,F4,P1,P2,P3,P4,F6,F7,P6,P7,FVPTC2,P8,FVPTC3,FVPTC4,FVPTC5,P9,P10,F20,FVPTC6,P12,F12,F13,P13,F10,F18,P18,P20,P14,F19,FVPTC20,FVPTC7,P15,F14,FVPTC14,FVPTC15,F15,FVPTC16,F16,FVPTC17,F17,FVPTC18,FVPTC19,P16,FVPTC8,FVPTC9,FVPTC10,FVPTC11,F11,FVPTC12,FVPTC13,P17,F8,P11,F9,nist_1,nist_2,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6
121.0407362,23.92561817,121.040724,nicotinamide,-0.100678223,C18,neg,154651,221099,202248,44110,70789,78907,134512,70050,124068,38909,121953,20587,249888,262998,77886,178576,43680,62689,145130,272158,348077,119183,555351,83811,132371,148040,115377,276503,375947,176149,406189,233856,261945,383495,166662,243798,151268,232227,301196,235225,282806,194894,255385,309134,120453,204880,204480,105418,246715,196480,215687,215487,69240,88290,196232,184972,323586,145369,171637,83299,158316,170825,396063
122.0247222,19.20917188,122.024724,Niacin; nicotinic acid,0.014986455,C18,neg,226909,108119,349400,256961,246318,68488,225901,217457,212266,240338,265710,203758,91489,182308,193735,195749,241271,95500,237358,92095,490788,147234,184770,1189863,202748,146990,325026,159581,177107,139224,171247,184740,221234,156698,207778,249675,238443,263660,271874,276113,125137,246891,140883,240250,189881,184746,177108,171099,251982,219119,215052,186550,205045,244699,167839,234746,182699,203606,224831,113566,139202,152544,143142
128.0353782,18.5373064,128.035324,Oxoproline,-0.423666277,C18,neg,43314464,48461191,91164379,23544460,27286375,42064822,36808865,38274654,22188396,16911049,64927120,17566672,19765138,21837722,28681734,47708003,29203933,48563211,11039512,42487812,132316352,58273987,35748760,46110488,8789463,71406205,80642974,29931181,102979629,106049554,28793423,26706742,23710126,22713753,14350954,16236378,9480066,6999596,21961263,7243907,18427849,4128647,42713137,46072710,10472507,22854967,14413072,17096122,21989351,10015244,12394117,17439496,50104444,71458385,37131246,2751377,4170772,2157017,2333104,2629263,2619839,2958301,2928268
128.0353782,18.5373064,128.035324,Pyroglutamic acid,-0.423666277,C18,neg,43314464,48461191,91164379,23544460,27286375,42064822,36808865,38274654,22188396,16911049,64927120,17566672,19765138,21837722,28681734,47708003,29203933,48563211,11039512,42487812,132316352,58273987,35748760,46110488,8789463,71406205,80642974,29931181,102979629,106049554,28793423,26706742,23710126,22713753,14350954,16236378,9480066,6999596,21961263,7243907,18427849,4128647,42713137,46072710,10472507,22854967,14413072,17096122,21989351,10015244,12394117,17439496,50104444,71458385,37131246,2751377,4170772,2157017,2333104,2629263,2619839,2958301,2928268
128.0378796,18.21722374,128.035324,Oxoproline,-19.96042824,C18,neg,238820,0,593240,0,0,0,0,0,0,0,0,0,0,0,0,271859,0,365930,90134,234006,0,0,0,0,86366,0,602216,0,0,0,171997,0,159776,105628,0,0,109907,93243,0,0,0,38158,260991,0,0,0,0,134558,0,119940,0,127722,0,0,0,7536,64983,0,0,0,2020,0,0
128.0378796,18.21722374,128.035324,Pyroglutamic acid,-19.96042824,C18,neg,238820,0,593240,0,0,0,0,0,0,0,0,0,0,0,0,271859,0,365930,90134,234006,0,0,0,0,86366,0,602216,0,0,0,171997,0,159776,105628,0,0,109907,93243,0,0,0,38158,260991,0,0,0,0,134558,0,119940,0,127722,0,0,0,7536,64983,0,0,0,2020,0,0
130.0625112,20.57196089,130.062224,Creatine,-2.208016103,C18,neg,49203,0,478608,49040,240800,46600,788176,272949,603687,150975,52660,0,434750,38867,561817,192279,127438,174483,129867,0,126335,182437,165438,47525,178203,227437,124562,157318,163059,918637,341396,77242,414483,253720,1458192,268086,76358,314364,159388,166368,195428,78660,0,66568,122730,66767,205482,52125,91839,127778,89284,301434,577140,143209,108006,0,0,0,0,0,0,0,0
131.0443272,223.3567447,131.046224,Asparagine,14.4744476,C18,neg,420116,434075,439615,1208731,1048361,1471456,508512,1681579,1639250,1626396,1702938,1799944,1463767,1710705,1510979,994106,1989754,1747895,3490157,1707150,1224310,2212146,2423850,1826485,2175557,1800254,1501270,2900455,1872414,994084,1962940,2093447,0,2757049,2491388,152087,2211407,1677905,696025,1709845,146629,1786977,238435,2144723,1489702,2261710,1606646,341918,1424962,2225547,1592780,792226,1339280,1682973,806946,477276,430585,371535,828023,202182,621789,1980104,3148832
131.0461255,21.00444639,131.046224,Asparagine,0.751361146,C18,neg,2166095,17645891,12754981,5404172,1895261,3699731,5168829,4501142,3573153,1033711,6492839,2890450,536842,3364154,5053469,6159395,2403934,5391931,4472783,13793438,5904694,11194581,10788620,10801728,3373095,7864349,6493054,1209354,12191883,3747068,4124084,2908097,3920669,11382932,2593333,1893083,2266729,870285,4512589,961177,7849674,2020886,17369321,12123977,2509183,9176493,1527899,6219462,9728586,1996011,2038764,2892338,6441856,5776695,6811333,176386,96560,270991,226144,399444,279402,177531,142447
132.0302701,18.72180332,132.0302,Aspartate,-0.531258606,C18,neg,38728641,82055985,54987532,30126718,25738514,29730064,87311830,41008870,21278285,9394438,44439664,6222292,23381579,22636329,42592613,42002510,17556690,44278044,16729724,65356006,20187877,53279394,55179763,56332826,9818131,53285913,87693463,11177688,112845789,72402884,34754045,32151511,17871434,47279964,15804139,13908269,11094237,3168339,30893409,6871789,23807095,5444368,83340985,47541174,13993550,34609322,9338054,26393888,36481886,7144962,8386275,14306218,45034633,50349600,59408076,174512,75942,656996,769530,984223,923752,601117,690013
