"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Fructose and mannose metabolism","20","19","18","20.664","0.64437","0.77257","0.14716","100","1","1","1","1","P49","EC000549;EC000550;EC000551;EC00023;EC00024;EC000341;EC00086;EC00087;EC00088;EC000818;EC000819;EC000119;EC000121;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000889"
"Fatty acid biosynthesis","9","7","7","12.398","0.65426","0.81074","0.15163","100","1","1","1","1","P50","EC000251;EC000252;EC000194;EC0001138;EC0001139;EC000801;EC000802;EC000804;EC000717;EC0001135;EC0001136;EC000182"
"Ascorbate and aldarate metabolism","8","8","7","10.332","0.65997","0.82648","0.15429","100","1","1","1","1","P51","EC00023;EC00024;EC00022;EC000216;EC000218;EC000800;EC000264;EC000265;EC000212;EC000552"
"Biotin metabolism","4","3","2","6.1991","0.68208","0.87394","0.16516","0","0","1","1","1","P52","EC0001090;EC0001091;EC0001092;EC0001093;EC00035;EC00036"
"Selenocompound metabolism","16","5","4","4.1328","0.7059","0.91193","0.17802","0","0","1","1","1","P53","EC0001063;EC0001064;EC00028;EC00029"
"Mannose type O-glycan biosynthesis","3","3","3","4.1328","0.7059","0.91193","0.17802","0","0","1","1","1","P54","EC000548;EC00056;EC000631;EC000632"
"Lipoic acid metabolism","17","9","7","11.709","0.71582","0.85645","0.18377","100","1","1","1","1","P55","EC0001262;EC0001263;EC0001264;EC00018;EC00064;EC00021;EC000304;EC000305;EC0001422;EC000161;EC000162"
"Glycerophospholipid metabolism","13","9","9","21.353","0.73337","0.83915","0.19456","100","1","1","1","1","P56","EC000119;EC000121;EC000122;EC000294;EC000295;EC000476;EC000664;EC000665;EC000333;EC000334;EC000335;EC000336;EC000337;EC00095;EC00096;EC000520;EC000522;EC000471;EC000472;EC000672"
"Folate biosynthesis","26","22","17","19.286","0.73846","0.84738","0.19785","0","0","1","1","1","P57","EC000381;EC000269;EC000271;EC0001096;EC0001094;EC000581;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000276;EC000828;EC0001401"
"Steroid hormone biosynthesis","87","77","61","43.394","0.74134","0.81731","0.19974","0","0","1","1","1","P58","EC000207;EC000863;EC000976;EC000977;EC000978;EC000979;EC000745;EC000990;EC000988;EC000459;EC000460;EC000903;EC000904;EC000452;EC000453;EC000656;EC000657;EC000758;EC000534;EC000531;EC000532;EC000991;EC000992;EC000993;EC000995;EC000424;EC000592;EC000593;EC000944;EC000953;EC000952;EC000892;EC0001354;EC000996;EC0001353;EC0001199;EC0001195;EC0001196;EC0001194;EC000998;EC0001000"
"Drug metabolism - other enzymes","28","17","13","22.73","0.76933","0.86263","0.21952","0","0","1","1","1","P59","EC0001320;EC0001319;EC0001324;EC0001325;EC0001326;EC0001203;EC0001206;EC0001402;EC0001405;EC0001327;EC000895;EC0001408;EC0001178;EC0001179;EC0001180;EC0001317;EC0001318;EC0001407;EC000257;EC000258;EC000259"
"Starch and sucrose metabolism","12","12","12","11.021","0.77433","0.89596","0.22334","0","0","1","1","1","P60","EC00090;EC00091;EC00092;EC00023;EC00024;EC00022;EC00086;EC00087;EC00088;EC000341"
"Tryptophan metabolism","41","35","28","57.859","0.8071","0.86178","0.25091","100","1","1","1","1","P61","EC00075;EC00076;EC00077;EC000723;EC000538;EC000539;EC0001035;EC0001036;EC0001038;EC0001040;EC000507;EC000508;EC000509;EC000805;EC000807;EC000808;EC000304;EC000305;EC000885;EC000886;EC000887;EC000897;EC000898;EC000900;EC000493;EC000310;EC000311;EC000313;EC000495;EC000496;EC000497;EC000498;EC0001051;EC0001052;EC000594;EC000595;EC000596;EC000598;EC000375;EC0001044;EC0001045;EC0001046;EC0001047;EC0001056;EC0001057;EC0001059;EC000768;EC000111;EC0001043;EC0001048;EC000681;EC000683;EC0001133;EC0001134"
"Metabolism of xenobiotics by cytochrome P450","68","41","34","42.705","0.84408","0.89777","0.2886","92","0.92","1","1","1","P62","EC0001240;EC0001241;EC0001224;EC0001227;EC0001250;EC0001251;EC0001128;EC0001230;EC0001232;EC0001368;EC0001369;EC0001152;EC0001153;EC0001358;EC000558;EC0001222;EC0001223;EC0001242;EC0001243;EC0001245;EC0001252;EC0001239;EC0001246;EC0001247;EC000823;EC000824;EC000825;EC000681;EC000683;EC0001370;EC0001364;EC0001366;EC0001204;EC0001373;EC0001362;EC0001363;EC0001359;EC0001360;EC0001361"
"Nicotinate and nicotinamide metabolism","15","14","11","20.664","0.87222","0.93392","0.32372","100","1","1","1","1","P63","EC00037;EC00039;EC000567;EC000872;EC000873;EC0001080;EC000666;EC000667;EC000828;EC000178;EC000180;EC000181;EC0004;EC000257;EC000258;EC000259;EC0001082;EC0001084"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","9.6431","0.87536","0.95414","0.32808","100","1","1","1","1","P64","EC000189;EC000190;EC00078;EC00079;EC00080;EC00081;EC00082;EC000660"
"Phosphonate and phosphinate metabolism","4","2","2","4.1328","0.91257","0.98518","0.38905","100","1","1","1","1","P65","EC0001148;EC0001150;EC0001060"
"Purine metabolism","70","62","50","79.211","0.96275","0.97547","0.52165","0","0","1","1","1","P66","EC00026;EC000362;EC000364;EC000365;EC000127;EC000128;EC000129;EC00057;EC00058;EC00059;EC000132;EC000827;EC000891;EC000906;EC000907;EC000908;EC000926;EC000919;EC0001;EC0006;EC00013;EC000884;EC000148;EC000219;EC000220;EC000221;EC000223;EC000350;EC000352;EC000463;EC000464;EC000465;EC000466;EC0001001;EC0001002;EC0001003;EC000733;EC000164;EC000165;EC000166;EC000512;EC000267;EC000268;EC000280;EC000281;EC000245;EC000246;EC000669;EC000369;EC000370;EC000590;EC000231;EC000232;EC000896;EC000685;EC000686;EC000292;EC000293;EC000168;EC0001214;EC0001410;EC0001413;EC0001416;EC000356;EC000357;EC000150;EC000782;EC0001126;EC0001419;EC0001421"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","3","8.9543","0.97325","0.99352","0.56663","100","1","1","1","1","P67","EC000185;EC000186;EC000187;EC000660;EC00081;EC00082"
"Tyrosine metabolism","42","42","33","65.435","0.9991","0.99955","0.84762","100","1","1","1","1","P68","EC000544;EC000545;EC000547;EC0001018;EC0001019;EC000296;EC000297;EC0001013;EC0001007;EC0001032;EC000874;EC000875;EC000876;EC000504;EC0001014;EC0001015;EC0001024;EC0001025;EC000343;EC000345;EC000629;EC000630;EC00081;EC00082;EC000619;EC000620;EC000660;EC000877;EC000878;EC000430;EC000431;EC000432;EC0001010;EC000185;EC000186;EC000187;EC0001021;EC000476;EC000787;EC00018;EC000139;EC000140;EC000113;EC000114;EC000115;EC000116;EC000118;EC000554;EC000555;EC000737;EC000491"
"Caffeine metabolism","10","10","5","8.9543","0.99987","0.99999","0.91621","100","1","1","1","1","P69","EC00024;EC0001169;EC0001275"
