"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"N-Glycan Degradation","16","7","3","7.5274","0.38613","0.58836","0.021548","0","0","1","1","1","P53","EC000176;EC000177;EC000178;EC000311;EC000312;EC000750;EC000751;EC000752"
"Fatty acid oxidation","35","9","4","6.5237","0.39358","0.61058","0.022083","0","0","1","1","1","P54","EC00022;EC00024;EC0001829;EC000430;EC000431;EC000433;EC000434"
"Glycosphingolipid biosynthesis - lactoseries","14","7","4","5.5201","0.40164","0.63671","0.022678","0","0","1","1","1","P55","EC00041;EC00023;EC000167;EC00061;EC00062;EC00063"
"Blood Group Biosynthesis","44","8","4","5.5201","0.40164","0.63671","0.022678","0","0","1","1","1","P56","EC000167;EC00061;EC00062;EC00063;EC00041;EC00023"
"Glycosphingolipid biosynthesis - neolactoseries","16","8","4","5.5201","0.40164","0.63671","0.022678","0","0","1","1","1","P57","EC00041;EC00023;EC000167;EC00061;EC00062;EC00063"
"Keratan sulfate biosynthesis","66","7","4","5.5201","0.40164","0.63671","0.022678","0","0","1","1","1","P58","EC000167;EC00061;EC00062;EC00063;EC00023;EC00059"
"Limonene and pinene degradation","10","7","7","5.5201","0.40164","0.63671","0.022678","100","1","1","1","1","P59","EC000532;EC000734;EC000737;EC0002094;EC0001015;EC0001016"
"C21-steroid hormone biosynthesis and metabolism","112","79","42","33.12","0.40838","0.50427","0.023189","0","0","1","1","1","P60","EC0001113;EC0001298;EC0001300;EC000541;EC000542;EC0001295;EC00023;EC000720;EC000721;EC0001282;EC0001285;EC000642;EC000643;EC000534;EC000535;EC0001245;EC0001564;EC000493;EC0001296;EC0001297;EC0002110;EC0001280;EC0001286;EC0001287;EC0001288;EC0001186;EC0001187;EC000238;EC0001304;EC0001305;EC00059;EC000944"
"Chondroitin sulfate degradation","37","6","4","4.5164","0.41046","0.66843","0.02335","100","1","1","1","1","P61","EC000243;EC000178;EC000176;EC000177;EC000159"
"O-Glycan biosynthesis","16","6","3","4.5164","0.41046","0.66843","0.02335","0","0","1","1","1","P62","EC00023;EC000167;EC00061;EC00062;EC00063"
"Biopterin metabolism","22","18","15","15.055","0.41143","0.55505","0.023425","0","0","1","1","1","P63","EC0001852;EC0001854;EC0001425;EC0001423;EC000313;EC0001227;EC0001074;EC0001853;EC00096;EC00097;EC0001651;EC000310;EC00099;EC000100;EC000472"
"Electron transport chain","7","2","1","3.5128","0.42031","0.70863","0.024127","0","0","1","1","1","P64","EC000430;EC000431;EC000433;EC000434"
