"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Galactose metabolism","41","39","38","49.244","0.71819","0.80139","0.072669","0","0","1","1","1","P73","EC0001265;EC00039;EC000103;EC000104;EC000105;EC000106;EC000176;EC000177;EC000178;EC00037;EC000108;EC000109;EC000111;EC0001269;EC0001270;EC0001271;EC0001272;EC0001273;EC0001274;EC0001275;EC000511;EC000512;EC000514;EC000825;EC000236;EC000144;EC000145;EC000247;EC000249;EC0001266;EC0001268;EC000387;EC000388;EC00072;EC000902;EC000664;EC000666;EC000141;EC000142;EC00023;EC000637;EC00090;EC000585;EC000586"
"Fatty acid oxidation","35","9","6","10.162","0.71876","0.87612","0.072838","0","0","1","1","1","P74","EC0001020;EC00022;EC00024;EC000206;EC0001829;EC000430;EC000431;EC000432;EC000433"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","10","8","20.323","0.71889","0.84007","0.072877","0","0","1","1","1","P75","EC00022;EC00028;EC00031;EC000144;EC000145;EC00072;EC0001102;EC0001103;EC0001105;EC0001106;EC0001107;EC000688;EC000689;EC000675;EC000676;EC000121;EC000122;EC000123"
"Sphingolipid metabolism","3","1","1","0.78166","0.72185","1","0.073765","0","0","1","1","1","P76","EC0001033"
"1- and 2-Methylnaphthalene degradation","4","2","2","0.78166","0.72185","1","0.073765","100","1","1","1","1","P77","EC0001610"
"Trihydroxycoprostanoyl-CoA beta-oxidation","9","1","1","0.78166","0.72185","1","0.073765","0","0","1","1","1","P78","EC00022"
"Vitamin B1 (thiamin) metabolism","20","11","9","14.851","0.74112","0.87025","0.079905","100","1","1","1","1","P79","EC00022;EC0001474;EC00028;EC00031;EC00080;EC000350;EC000351;EC00033;EC0001066;EC00036;EC000791;EC000792;EC000793"
"Pentose and Glucuronate Interconversions","15","15","14","14.851","0.74112","0.87025","0.079905","100","1","1","1","1","P80","EC000126;EC000127;EC00023;EC000408;EC000159;EC000243;EC000148;EC000150;EC000301;EC000302;EC000149;EC0001262;EC0001263"
"Lipoate metabolism","8","4","4","9.3799","0.77961","0.9137","0.094351","99","0.99","1","1","1","P81","EC000560;EC000561;EC0001809;EC0001810;EC0001811;EC000641;EC00050;EC00051"
"TCA cycle","31","22","19","33.611","0.81039","0.8851","0.1086","100","1","1","1","1","P82","EC00080;EC000160;EC000161;EC000197;EC000198;EC00036;EC0001256;EC0001257;EC000801;EC000430;EC000431;EC000432;EC000433;EC00024;EC000427;EC000560;EC000561;EC000213;EC00022;EC00042;EC00086;EC000284;EC000285;EC000286;EC000287;EC00041;EC00045;EC00047;EC000444"
