"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Carbon fixation","10","10","6","10.581","0.69052","0.81773","0.063905","100","1","1","1","1","P61","EC00042;EC000140;EC000141;EC000142;EC000143;EC000387;EC000148;EC00053;EC00054"
"Bile acid biosynthesis","82","51","34","22.337","0.72109","0.80603","0.072321","0","0","1","1","1","P62","EC0001292;EC0001754;EC0001756;EC0001281;EC0001202;EC0001204;EC000861;EC000939;EC0001289;EC0001148;EC00028;EC000905;EC000906;EC000881;EC000882;EC0001742;EC0001744;EC0001747;EC0001008"
"Parathio degradation","6","2","1","1.1756","0.74038","1","0.078378","100","1","1","1","1","P63","EC0001503"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","1","1.1756","0.74038","1","0.078378","0","0","1","1","1","P64","EC00032"
"Vitamin B2 (riboflavin) metabolism","8","5","3","6.2699","0.74467","0.88619","0.079815","0","0","1","1","1","P65","EC00028;EC000297;EC000298;EC000931;EC000933"
"Butanoate metabolism","34","23","15","20.377","0.74852","0.83191","0.081134","100","1","1","1","1","P66","EC00035;EC00028;EC000135;EC0001316;EC0001317;EC000233;EC0001070;EC0001071;EC000742;EC000368;EC0001040;EC0001041;EC0001042;EC0001043;EC000282;EC00047;EC000696"
"Vitamin H (biotin) metabolism","5","4","3","5.0943","0.75173","0.90279","0.082253","0","0","1","1","1","P67","EC00050;EC00051;EC00028;EC0001422"
"Porphyrin metabolism","43","14","7","11.364","0.7788","0.87865","0.092592","97","0.97","1","1","1","P68","EC000763;EC000459;EC000243;EC00082;EC000707;EC000708;EC000774;EC000516;EC000517"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","23","10","6.6618","0.79628","0.91421","0.10023","0","0","1","1","1","P69","EC0001933;EC0001934;EC0001946;EC0001948;EC0001941"
"Pyrimidine metabolism","70","56","35","52.119","0.80557","0.85067","0.10465","100","1","1","1","1","P70","EC000128;EC000182;EC000183;EC00037;EC000400;EC00074;EC00028;EC000430;EC000431;EC000432;EC000433;EC00035;EC00061;EC00062;EC000699;EC000442;EC000465;EC00059;EC000368;EC00043;EC000135;EC000127;EC000865;EC000257;EC000258;EC000225;EC000226;EC000692;EC000693;EC000144;EC000145;EC000153;EC000330;EC000497;EC000148;EC000455;EC00041;EC000409;EC000410;EC000629;EC000276;EC000199;EC00053;EC00054"
"Sialic acid metabolism","107","32","15","23.512","0.80865","0.87398","0.10618","0","0","1","1","1","P71","EC0001448;EC000176;EC000178;EC0001269;EC0001272;EC0001275;EC000637;EC0001468;EC0001469;EC000108;EC000109;EC000112;EC000907;EC000909;EC00076;EC000247;EC00061;EC00062;EC0001212"
"C21-steroid hormone biosynthesis and metabolism","112","79","34","25.863","0.81011","0.8723","0.10691","0","0","1","1","1","P72","EC0001300;EC000541;EC0001181;EC0001295;EC000720;EC000721;EC0001281;EC000642;EC000643;EC000534;EC000535;EC0001245;EC000440;EC000493;EC0001296;EC0001297;EC0002110;EC0001187;EC0001305;EC00059;EC000944"
"Vitamin B9 (folate) metabolism","33","17","8","11.756","0.81544","0.90216","0.10965","0","0","1","1","1","P73","EC00035;EC0001166;EC000182;EC000183;EC00076;EC000763;EC000442;EC0001426;EC000706"
"Methionine and cysteine metabolism","94","48","24","37.62","0.82144","0.8714","0.11287","100","1","1","1","1","P74","EC00035;EC00032;EC00028;EC000410;EC000809;EC000135;EC000264;EC000543;EC000544;EC0001391;EC000507;EC000509;EC000928;EC00083;EC00085;EC000969;EC00076;EC000166;EC000946;EC000947;EC00059;EC00055;EC00056;EC00057;EC0001035;EC0001036;EC0001037;EC000254;EC000581;EC000583;EC0001413"
"Propanoate metabolism","31","14","9","9.4049","0.82399","0.91604","0.11427","100","1","1","1","1","P75","EC00028;EC000135;EC00042;EC0001446;EC000742;EC0001158;EC000236"
"Valine, leucine and isoleucine degradation","65","26","20","20.377","0.83372","0.89692","0.11988","100","1","1","1","1","P76","EC00035;EC00028;EC000135;EC000180;EC000181;EC000164;EC000165;EC000233;EC00047;EC000742;EC000268;EC0001923;EC000284;EC000285;EC000368;EC0002007"
"TCA cycle","31","22","8","16.85","0.83675","0.90463","0.1217","99","0.99","1","1","1","P77","EC000160;EC000197;EC000430;EC000431;EC000432;EC000433;EC000560;EC000561;EC00042;EC000284;EC000285;EC00041;EC00047"
"Fatty Acid Metabolism","63","19","5","14.499","0.84076","0.91194","0.1242","0","0","1","1","1","P78","EC0001013;EC0001014;EC0001030;EC0001032;EC000289;EC000890;EC000891;EC000892;EC000893;EC0002061;EC0002062"
"Mono-unsaturated fatty acid beta-oxidation","19","5","2","3.135","0.84829","0.97255","0.12907","0","0","1","1","1","P79","EC0001677;EC00028"
"Fatty acid activation","74","26","10","16.067","0.86415","0.92462","0.14035","0","0","1","1","1","P80","EC0001908;EC00028;EC000636;EC0001829;EC0001491;EC000282;EC000289;EC000890;EC000891;EC000892;EC000893;EC0001079"
"Phytanic acid peroxisomal oxidation","34","7","3","4.7024","0.86839","0.96455","0.14363","0","0","1","1","1","P81","EC00028;EC0001677;EC00047"
"Xenobiotics metabolism","110","55","17","28.215","0.87305","0.91778","0.14737","100","1","1","1","1","P82","EC0001417;EC00059;EC00055;EC00056;EC00057;EC0001628;EC000289;EC0001632;EC0001565;EC0001566;EC0001624;EC0001633;EC0001030;EC0001032;EC0001635;EC0001642;EC0001645;EC0001483;EC0001484;EC0001607;EC0001647;EC0001608"
"Polyunsaturated fatty acid biosynthesis","21","4","1","3.5268","0.89343","0.98251","0.16579","0","0","1","1","1","P83","EC0001686;EC0001687"
"Tryptophan metabolism","94","66","40","57.997","0.89571","0.92312","0.16809","100","1","1","1","1","P84","EC00035;EC00032;EC00028;EC0001128;EC000358;EC000359;EC0001362;EC000651;EC000652;EC0001366;EC000992;EC0001651;EC0001371;EC0001374;EC0001377;EC000429;EC000612;EC000613;EC00094;EC00095;EC0001152;EC0001153;EC0002004;EC000132;EC0001768;EC000999;EC0001486;EC0001813;EC0001814;EC000914;EC0002025;EC000597;EC000348;EC000349;EC0001168;EC0001170;EC00055;EC00056;EC00057;EC0001143;EC0001145;EC0001354;EC0001351;EC0001352;EC000724;EC000294;EC00043"
