"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Sphingolipid metabolism","11","11","9","15.162","0.62102","0.79777","0.13543","0","0","1","1","1","P43","EC0001123;EC0001124;EC000564;EC000299;EC000300;EC00060;EC00061;EC00062;EC00063;EC000732;EC0001212;EC000333;EC000334;EC000335;EC000337"
"Porphyrin metabolism","29","10","7","15.162","0.62102","0.79777","0.13543","82","0.82","1","1","1","P44","EC000443;EC000444;EC000445;EC000634;EC000635;EC000582;EC000583;EC000584;EC000586;EC000397;EC000399;EC00019;EC00020;EC000433;EC0001066"
"Mannose type O-glycan biosynthesis","3","3","3","4.788","0.62418","0.88444","0.13671","0","0","1","1","1","P45","EC000548;EC00056;EC000631;EC000632;EC000633"
"alpha-Linolenic acid metabolism","12","5","3","7.98","0.63937","0.85513","0.14309","0","0","1","1","1","P46","EC0001272;EC0001141;EC0001142;EC0001265;EC0001266;EC0001267;EC0001268;EC0001269"
"Steroid hormone biosynthesis","87","77","61","50.274","0.6446","0.74627","0.14537","0","0","1","1","1","P47","EC000207;EC000863;EC000864;EC000976;EC000977;EC000978;EC000979;EC000745;EC000990;EC000988;EC000459;EC000460;EC000903;EC000904;EC000905;EC000452;EC000453;EC000656;EC000657;EC000758;EC000534;EC000531;EC000532;EC000991;EC000992;EC000993;EC000994;EC000995;EC000424;EC000592;EC000593;EC000953;EC000952;EC000892;EC0001354;EC000996;EC0001352;EC0001353;EC000989;EC0001198;EC0001199;EC0001197;EC0001195;EC0001196;EC0001193;EC0001194;EC000998;EC000999;EC0001000"
"Fatty acid biosynthesis","9","7","6","14.364","0.66813","0.83352","0.15622","100","1","1","1","1","P48","EC000251;EC000252;EC000193;EC000194;EC0001137;EC0001138;EC0001139;EC000801;EC000802;EC000715;EC000716;EC000717;EC0001135;EC0001136"
"Biotin metabolism","4","3","3","7.182","0.70451","0.89632","0.17514","0","0","1","1","1","P49","EC000136;EC0001090;EC0001091;EC0001092;EC0001093;EC00035;EC00036"
"Pentose phosphate pathway","23","23","23","40.698","0.72461","0.82049","0.1869","100","1","1","1","1","P50","EC00085;EC00086;EC00087;EC00088;EC00089;EC000735;EC000523;EC000524;EC000127;EC000128;EC000129;EC000131;EC000137;EC000138;EC000122;EC000965;EC000966;EC000967;EC000341;EC000342;EC000330;EC000331;EC000332;EC000673;EC000674;EC000264;EC000265;EC000216;EC000218;EC000266;EC000753;EC000754;EC000755;EC000756;EC000132;EC000278;EC000213;EC000214;EC000215"
"Inositol phosphate metabolism","21","19","19","19.95","0.73004","0.85643","0.19025","91","0.91","1","1","1","P51","EC000676;EC000677;EC000678;EC000688;EC000341;EC000342;EC00085;EC00086;EC00087;EC00088;EC00089;EC00023;EC00024;EC00025;EC000691;EC000693;EC00018;EC000122;EC000212"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","4","3","2","6.384","0.76879","0.93117","0.21676","100","1","1","1","1","P52","EC000251;EC000252;EC000333;EC000334;EC000335;EC000337"
