"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Sulfur metabolism","8","5","2","4.06","0.85709","0.96523","0.30907","100","1","1","1","1","P59","EC000231;EC000232;EC000301"
"Mannose type O-glycan biosynthesis","3","3","2","3.045","0.89178","0.98454","0.35797","20","0.2","1","1","1","P60","EC000548;EC000632"
"Biotin metabolism","4","3","3","4.5675","0.91154","0.98077","0.39251","0","0","1","1","1","P61","EC000136;EC0001090;EC00035"
"Glycerophospholipid metabolism","13","9","6","15.732","0.92852","0.96615","0.42788","100","1","1","1","1","P62","EC000121;EC000122;EC000476;EC000478;EC000664;EC000665;EC000334;EC000335;EC000337;EC00095;EC00096;EC000519"
"Riboflavin metabolism","4","4","3","5.0749","0.94642","0.98947","0.47357","0","0","1","1","1","P63","EC000262;EC00050;EC0009"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","3","6.5974","0.95508","0.98906","0.50015","100","1","1","1","1","P64","EC000185;EC000660;EC00081;EC00082"
"Tryptophan metabolism","41","35","24","42.63","0.95575","0.97237","0.50237","100","1","1","1","1","P65","EC00075;EC00077;EC000723;EC000538;EC000539;EC0001035;EC0001036;EC0001039;EC0001040;EC000507;EC000508;EC000509;EC000808;EC000304;EC000885;EC000886;EC000887;EC000897;EC000900;EC000310;EC000311;EC000496;EC0001051;EC0001052;EC000375;EC000321;EC0001044;EC0001045;EC0001056;EC000768;EC000111;EC000112;EC0001043;EC0001048;EC0001134"
"Caffeine metabolism","10","10","4","6.5974","0.98921","0.99836","0.6763","100","1","1","1","1","P66","EC00024;EC0001169;EC0001279"
"Lipoic acid metabolism","17","9","4","8.6274","0.99399","0.99889","0.73025","100","1","1","1","1","P67","EC00018;EC00064;EC00021;EC000304"
"Tyrosine metabolism","42","42","29","48.212","0.99868","0.99934","0.83229","100","1","1","1","1","P68","EC000544;EC000545;EC0001018;EC000296;EC0001007;EC0001032;EC000504;EC0001014;EC0001015;EC0001024;EC000343;EC000346;EC00081;EC00082;EC000619;EC000660;EC000877;EC000430;EC000432;EC0001010;EC000185;EC0001021;EC000476;EC000478;EC000787;EC00018;EC000113;EC000115;EC000116;EC000117;EC000118;EC000554;EC000737;EC0001351"
"Metabolism of xenobiotics by cytochrome P450","68","41","23","31.465","0.99951","0.99981","0.87757","100","1","1","1","1","P69","EC0001227;EC0001128;EC0001129;EC0001232;EC0001369;EC0001358;EC0001177;EC000558;EC0001242;EC0001253;EC0001252;EC0001239;EC0001248;EC000825;EC0001370;EC0001366;EC0001362;EC0001363;EC0001359"
