"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Drug metabolism - cytochrome P450","43","30","28","37.931","0.62517","0.73334","0.13811","83","0.83","1","1","1","P46","EC000929;EC000930;EC0001181;EC0001314;EC0001315;EC0001294;EC0001297;EC0001299;EC0001300;EC0001301;EC0001302;EC0001303;EC0001171;EC0001332;EC0001281;EC0001282;EC0001287;EC0001288;EC0001286;EC0001182;EC0001183;EC0001185;EC0001310;EC0001312;EC0001292;EC0001293;EC0001035;EC0001036;EC0001305;EC0001306;EC000703;EC000704;EC0001308;EC0001309;EC0001330;EC0001331;EC0001333"
"Fatty acid degradation","35","13","8","11.156","0.63234","0.81308","0.1411","0","0","1","1","1","P47","EC000798;EC000182;EC000251;EC000252;EC000820;EC000821;EC000822;EC0007;EC000947;EC000948;EC000949"
"Glycerophospholipid metabolism","13","9","9","23.056","0.70354","0.82111","0.17574","100","1","1","1","1","P48","EC000121;EC000122;EC000294;EC000295;EC000476;EC000478;EC000664;EC000665;EC000333;EC000334;EC000335;EC000337;EC00095;EC00096;EC000520;EC000521;EC000522;EC000469;EC000470;EC000471;EC000472;EC000670"
"Fatty acid elongation","28","9","6","7.4375","0.73742","0.90133","0.19614","0","0","1","1","1","P49","EC000182;EC000949;EC000798;EC000948;EC000947;EC000251;EC000252"
"Riboflavin metabolism","4","4","3","7.4375","0.73742","0.90133","0.19614","0","0","1","1","1","P50","EC000260;EC000261;EC000262;EC00049;EC00050;EC00051;EC0009"
"Purine metabolism","70","62","55","85.532","0.74016","0.79992","0.19793","0","0","1","1","1","P51","EC00026;EC000362;EC000363;EC000364;EC000365;EC000127;EC000128;EC000129;EC000131;EC00057;EC00058;EC00059;EC000132;EC000827;EC000891;EC000906;EC000907;EC000908;EC000925;EC000926;EC000919;EC0001;EC0006;EC00013;EC000884;EC000148;EC000220;EC000221;EC000222;EC000223;EC000350;EC000351;EC000352;EC000463;EC000464;EC000465;EC000466;EC0001001;EC0001002;EC0001003;EC000733;EC000104;EC000164;EC000165;EC000166;EC000512;EC000267;EC000268;EC000280;EC000245;EC000246;EC000442;EC000669;EC00034;EC000369;EC000370;EC000371;EC000590;EC00048;EC000231;EC000232;EC000896;EC000685;EC000686;EC000293;EC000697;EC000698;EC000699;EC0001410;EC0001412;EC0001413;EC0001416;EC000356;EC000357;EC000150;EC000687;EC000893;EC000782;EC0001125;EC0001126;EC0001419;EC0001421"
"Fructose and mannose metabolism","20","19","19","22.313","0.74225","0.85067","0.19931","100","1","1","1","1","P52","EC000549;EC000551;EC00024;EC000341;EC00085;EC00086;EC00087;EC00088;EC000818;EC000819;EC00098;EC000121;EC000122;EC000206;EC000612;EC000613;EC000614;EC000306;EC000888;EC000889;EC000890"
"Nicotinate and nicotinamide metabolism","15","14","13","22.313","0.74225","0.85067","0.19931","100","1","1","1","1","P53","EC00037;EC00039;EC000567;EC000872;EC000873;EC0001080;EC000666;EC000667;EC0002;EC000828;EC000179;EC000180;EC000181;EC000811;EC000812;EC0004;EC000257;EC000259;EC0001081;EC0001082;EC0001084"
"Phenylalanine metabolism","8","8","8","17.106","0.75016","0.86791","0.20465","100","1","1","1","1","P54","EC000480;EC000481;EC000482;EC00078;EC00079;EC00080;EC000955;EC000956;EC000957;EC000189;EC000190;EC000877;EC000878;EC000504;EC00081;EC00082"
"Steroid biosynthesis","40","33","27","19.338","0.76531","0.87262","0.21543","0","0","1","1","1","P55","EC000654;EC000936;EC000709;EC000710;EC000712;EC000713;EC000207;EC000931;EC000933;EC000935;EC0001207;EC0001208;EC000725;EC000726;EC000842;EC0001409;EC0001343;EC0001345"
"Inositol phosphate metabolism","21","19","19","18.594","0.80307","0.89857","0.2461","100","1","1","1","1","P56","EC000676;EC000677;EC000678;EC000688;EC000689;EC000341;EC00085;EC00086;EC00087;EC00088;EC00024;EC000691;EC000693;EC00018;EC000121;EC000122;EC000212"
"Phosphonate and phosphinate metabolism","4","2","2","4.4625","0.80453","0.95313","0.24741","100","1","1","1","1","P57","EC0001148;EC0001149;EC0001150;EC0001060"
"Ascorbate and aldarate metabolism","8","8","8","11.156","0.81483","0.92371","0.25696","100","1","1","1","1","P58","EC00024;EC00022;EC000216;EC000218;EC000800;EC000192;EC000264;EC000265;EC000212;EC000552"
"Sulfur metabolism","8","5","4","5.95","0.86318","0.96451","0.31041","100","1","1","1","1","P59","EC00048;EC000231;EC000232;EC000301;EC0001341"
"Caffeine metabolism","10","10","10","9.6688","0.89716","0.9663","0.3601","100","1","1","1","1","P60","EC00024;EC0001273;EC0001167;EC0001168;EC0001169;EC0001275;EC0001277;EC0001278"
"Galactose metabolism","27","26","26","23.056","0.906","0.95442","0.37544","0","0","1","1","1","P61","EC000724;EC00085;EC00086;EC00087;EC00088;EC000438;EC000440;EC00090;EC00091;EC00092;EC00093;EC00094;EC00024;EC000971;EC000974;EC000968;EC00022;EC000341;EC000549;EC000551"
"One carbon pool by folate","26","22","14","34.956","0.90715","0.94824","0.37752","0","0","1","1","1","P62","EC000411;EC000412;EC000410;EC000183;EC000184;EC0001;EC00065;EC00067;EC00017;EC000203;EC000204;EC000322;EC000323;EC000324;EC000325;EC00028;EC00029;EC00060;EC00061;EC00062;EC00063;EC000774;EC000776;EC000354;EC000220;EC000221;EC000222;EC000223;EC000100;EC000101;EC000102"
"Drug metabolism - other enzymes","28","17","14","24.544","0.927","0.96515","0.41753","0","0","1","1","1","P63","EC0001320;EC0001319;EC0001325;EC0001326;EC0001203;EC0001205;EC0001206;EC0001402;EC0001405;EC0001327;EC000895;EC0001408;EC0001178;EC0001179;EC0001180;EC0001318;EC0001321;EC0001322;EC0001407;EC000257;EC000259"
"Biotin metabolism","4","3","3","6.6938","0.93795","0.98626","0.44365","0","0","1","1","1","P64","EC000134;EC0001090;EC0001093;EC00035;EC00036"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","10.413","0.94836","0.98492","0.47219","100","1","1","1","1","P65","EC000189;EC000190;EC00078;EC00079;EC00080;EC00081;EC00082;EC000660"
"Lipoic acid metabolism","17","9","6","12.644","0.9818","0.99505","0.6128","100","1","1","1","1","P66","EC0001262;EC0001264;EC00018;EC00064;EC00021;EC000302;EC000303;EC000304;EC0001422"
"Tryptophan metabolism","41","35","28","62.475","0.98822","0.99356","0.66089","100","1","1","1","1","P67","EC00075;EC00076;EC00077;EC000723;EC000538;EC000539;EC0001035;EC0001036;EC0001038;EC0001040;EC000507;EC000508;EC000509;EC000807;EC000808;EC000302;EC000303;EC000304;EC000885;EC000886;EC000887;EC000897;EC000898;EC000900;EC000310;EC000311;EC000312;EC0001053;EC000495;EC000496;EC000498;EC0001051;EC0001052;EC000595;EC000596;EC000375;EC0001044;EC0001045;EC0001046;EC0001047;EC0001056;EC0001057;EC0001059;EC000768;EC000111;EC0001043;EC0001048;EC0001050;EC000680;EC000681;EC000683;EC0001133;EC0001134"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","3","9.6688","0.99176","0.99843","0.69603","100","1","1","1","1","P68","EC000185;EC000186;EC000187;EC000660;EC00081;EC00082"
"Tyrosine metabolism","42","42","36","70.657","0.99774","0.99884","0.79609","100","1","1","1","1","P69","EC000730;EC000544;EC000545;EC0001018;EC0001019;EC0001020;EC000296;EC000297;EC0001013;EC0001007;EC0001029;EC0001032;EC000874;EC000875;EC000876;EC000504;EC0001014;EC0001015;EC0001024;EC0001025;EC000343;EC000345;EC000346;EC000347;EC000630;EC00081;EC00082;EC000619;EC000620;EC000660;EC000877;EC000878;EC000431;EC000432;EC0001009;EC0001010;EC000185;EC000186;EC000187;EC0001021;EC0001023;EC000476;EC000478;EC000786;EC000787;EC00018;EC000139;EC000140;EC000113;EC000114;EC000115;EC000116;EC000118;EC000554;EC000555;EC000737;EC000491;EC0001351"
