"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Valine, leucine and isoleucine degradation","65","26","11","12.98","0.93843","0.97207",NA,"100","1","1","1",NA,"P79","EC00080;EC00028;EC000134;EC000138;EC000233;EC000742;EC000268;EC000269"
"Glycosphingolipid biosynthesis - lactoseries","14","7","1","2.7457","0.94444","1",NA,"0","0","1","1",NA,"P80","EC00063"
"Blood Group Biosynthesis","44","8","1","2.7457","0.94444","1",NA,"0","0","1","1",NA,"P81","EC00063"
"Glycosphingolipid biosynthesis - neolactoseries","16","8","1","2.7457","0.94444","1",NA,"0","0","1","1",NA,"P82","EC00063"
"Keratan sulfate biosynthesis","66","7","1","2.7457","0.94444","1",NA,"0","0","1","1",NA,"P83","EC00063"
"TCA cycle","31","22","4","10.733","0.9538","0.98241",NA,"100","1","1","1",NA,"P84","EC00080;EC000801;EC000803;EC000560;EC000561;EC000444"
"Sialic acid metabolism","107","32","15","14.977","0.95707","0.98044",NA,"0","0","1","1",NA,"P85","EC0001448;EC000178;EC0001270;EC0001274;EC0001275;EC00039;EC000108;EC00079;EC00063"
"Phytanic acid peroxisomal oxidation","34","7","1","2.9953","0.95731","1",NA,"100","1","1","1",NA,"P86","EC00028"
"Glycine, serine, alanine and threonine metabolism","88","51","18","27.457","0.97","0.98316",NA,"100","1","1","1",NA,"P87","EC00032;EC00028;EC0001077;EC00069;EC0001788;EC000233;EC000303;EC0001910;EC000332;EC0001456;EC000219;EC00079;EC000134;EC000138;EC000560;EC000561;EC000970;EC00057"
"Pyruvate Metabolism","20","10","1","3.4945","0.97482","1",NA,"100","1","1","1",NA,"P88","EC00057"
"Fructose and mannose metabolism","33","29","7","10.234","0.97539","0.99225",NA,"100","1","1","1",NA,"P89","EC000750;EC00039;EC0001862;EC0001863;EC0001865"
"Pentose phosphate pathway","37","35","14","14.727","0.97767","0.99102",NA,"99","0.99","1","1",NA,"P90","EC000316;EC000148;EC000150;EC00028;EC000955;EC000301;EC000384;EC00039"
"N-Glycan biosynthesis","48","18","4","7.4883","0.98171","0.99626",NA,"0","0","1","1",NA,"P91","EC000145;EC00063;EC00039"
"Vitamin B2 (riboflavin) metabolism","8","5","1","3.9937","0.98515","1",NA,"0","0","1","1",NA,"P92","EC00028"
"Pyrimidine metabolism","70","56","17","33.198","0.98735","0.99302",NA,"100","1","1","1",NA,"P93","EC000128;EC000129;EC000399;EC00073;EC00028;EC00063;EC000697;EC000698;EC000134;EC000138;EC000224;EC000692;EC000145;EC000499;EC000148;EC000150;EC000457;EC000411;EC000201;EC00052;EC00054"
"Galactose metabolism","41","39","17","15.725","0.98802","0.99548",NA,"60","0.6","1","1",NA,"P94","EC00039;EC000178;EC000108;EC0001270;EC0001274;EC0001275;EC000145;EC0001266"
"Hexose phosphorylation","20","18","7","8.4867","0.99206","0.99855",NA,"100","1","1","1",NA,"P95","EC00039;EC000108;EC000384"
"Starch and Sucrose Metabolism","33","21","7","7.9875","0.99771","0.99978",NA,"86","0.86","1","1",NA,"P96","EC000108;EC00039"
"Aminosugars metabolism","69","34","8","15.476","0.99834","0.99955",NA,"100","1","1","1",NA,"P97","EC000178;EC00073;EC00063;EC000384;EC0001448;EC0001091"
