"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Citrate cycle (TCA cycle)","16","14","13","15.907","0.19817","0.35954","0.043713","100","1","1","1","1","P21","EC00021;EC00064;EC000964;EC00030;EC00032;EC000962;EC000963;EC000188;EC00027;EC000173;EC000382;EC000383;EC000384;EC00018;EC000139;EC00068;EC00069;EC00070"
"Pyrimidine metabolism","39","37","33","59.291","0.22713","0.30644","0.046997","5","0.05","1","1","1","P22","EC0008;EC00057;EC00058;EC00059;EC000195;EC000105;EC000106;EC00072;EC000287;EC000288;EC000393;EC000394;EC000395;EC000396;EC000175;EC000176;EC000177;EC00056;EC000124;EC00044;EC00045;EC00047;EC000427;EC000428;EC000429;EC000528;EC000244;EC000570;EC000571;EC000423;EC000700;EC000454;EC000353;EC000354;EC000224;EC000225;EC000226;EC000227;EC000198;EC000199;EC000200;EC0001394;EC0001395;EC0001396;EC0001188;EC0001189;EC000402;EC000403;EC000404;EC000285;EC000132;EC000107;EC000108;EC00028;EC00029;EC000523;EC000524;EC000322;EC000323;EC000324;EC000325;EC0001190"
"Purine metabolism","70","62","56","83.151","0.23007","0.29558","0.047345","0","0","1","1","1","P23","EC00026;EC000362;EC000363;EC000364;EC000365;EC000127;EC000128;EC000129;EC00057;EC00058;EC00059;EC000132;EC000827;EC000891;EC000906;EC000907;EC000908;EC000925;EC000926;EC000919;EC0001;EC0006;EC00013;EC00015;EC000884;EC000148;EC000219;EC000220;EC000221;EC000223;EC000350;EC000351;EC000352;EC000463;EC000464;EC000465;EC000466;EC000467;EC0001001;EC0001002;EC0001003;EC000733;EC000104;EC000164;EC000165;EC000166;EC000512;EC000267;EC000268;EC000280;EC000281;EC000245;EC000246;EC000442;EC000669;EC000901;EC00034;EC000369;EC000370;EC000590;EC00048;EC000231;EC000232;EC000896;EC000685;EC000686;EC000168;EC0001215;EC000697;EC000698;EC000699;EC0001410;EC0001412;EC0001413;EC0001415;EC0001416;EC000356;EC000357;EC000150;EC000687;EC000782;EC0001125;EC0001126;EC0001419;EC0001420;EC0001421"
"Arginine biosynthesis","14","12","12","20.246","0.26596","0.42025","0.051833","100","1","1","1","1","P24","EC00019;EC00020;EC00053;EC000401;EC000836;EC000837;EC000838;EC000839;EC00037;EC00039;EC000308;EC000309;EC000195;EC00073;EC00074;EC00057;EC00058;EC00059;EC00021;EC000486;EC000487;EC000139"
"Glutathione metabolism","19","13","12","20.246","0.26596","0.42025","0.051833","100","1","1","1","1","P25","EC00040;EC00041;EC0004;EC000145;EC000516;EC000517;EC000518;EC000100;EC000101;EC000102;EC00019;EC00020;EC000701;EC000739;EC000740;EC000741;EC000742;EC00073;EC00074;EC000298;EC000533;EC0001290"
"Butanoate metabolism","15","9","9","17.353","0.27211","0.44103","0.052649","100","1","1","1","1","P26","EC000636;EC000637;EC000113;EC000114;EC000115;EC000116;EC000118;EC000322;EC000323;EC000324;EC000325;EC00019;EC00020;EC000249;EC00021;EC00030;EC00032;EC000771;EC000772"
"Pantothenate and CoA biosynthesis","18","15","13","30.368","0.3033","0.43114","0.057011","0","0","1","1","1","P27","EC000560;EC000561;EC000568;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000202;EC000203;EC000204;EC00037;EC00039;EC0007;EC000848;EC000849;EC000850;EC000852;EC000853;EC000100;EC000101;EC000102;EC00028;EC00029;EC000107;EC000108;EC000158;EC000160;EC0006"
"Steroid hormone biosynthesis","87","77","62","45.552","0.33425","0.43921","0.061744","0","0","1","1","1","P28","EC000207;EC000863;EC000976;EC000977;EC000978;EC000979;EC000745;EC000990;EC000988;EC000459;EC000460;EC000903;EC000904;EC000452;EC000453;EC000656;EC000657;EC000758;EC000534;EC000531;EC000532;EC000991;EC000992;EC000993;EC000994;EC000995;EC000424;EC000592;EC000593;EC000944;EC000953;EC000952;EC000892;EC0001354;EC000996;EC0001352;EC0001353;EC000989;EC0001198;EC0001199;EC0001195;EC0001196;EC0001193;EC0001194;EC000998;EC000999;EC0001000"
"One carbon pool by folate","26","22","17","33.984","0.38282","0.50821","0.07009","0","0","1","1","1","P29","EC000381;EC000411;EC000412;EC000161;EC000513;EC000183;EC000184;EC0001;EC00065;EC00067;EC00011;EC00017;EC000202;EC000203;EC000204;EC000322;EC000323;EC000324;EC000325;EC00028;EC00029;EC00060;EC00061;EC00062;EC00063;EC000774;EC000776;EC000354;EC000219;EC000220;EC000221;EC000223;EC000100;EC000101;EC000102"
"Riboflavin metabolism","4","4","4","7.2305","0.41868","0.68347","0.077079","0","0","1","1","1","P30","EC000260;EC000261;EC000262;EC00049;EC00050;EC00052;EC0009;EC000611"
