"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glycine, serine, alanine and threonine metabolism","88","51","48","91.6","0.18258","0.24892","0.011726","100","1","1","1","0.926354","P32","EC00034;EC00035;EC00036;EC00032;EC00028;EC00030;EC00033;EC000183;EC0001077;EC000368;EC000369;EC000370;EC000371;EC00022;EC00069;EC00070;EC00024;EC00026;EC000207;EC0001788;EC0001789;EC0001099;EC000232;EC000233;EC000234;EC000236;EC000303;EC000474;EC000477;EC000746;EC000747;EC000748;EC0001910;EC0001911;EC000332;EC000333;EC000334;EC00083;EC00085;EC000459;EC000461;EC00091;EC00092;EC000284;EC000285;EC000286;EC000287;EC0001453;EC0001454;EC0001455;EC0001456;EC000218;EC000219;EC00017;EC00018;EC000564;EC00076;EC00077;EC00078;EC00079;EC000134;EC000135;EC000136;EC000137;EC000139;EC000559;EC000869;EC000560;EC000561;EC000562;EC000738;EC000739;EC000740;EC000741;EC000239;EC000240;EC000969;EC000970;EC00055;EC00056;EC00057;EC000244;EC000245;EC000246;EC000977;EC000980;EC000981;EC00043;EC00044"
"TCA cycle","31","22","22","35.807","0.18865","0.30609","0.011945","0","0","1","1","0.93171","P33","EC00080;EC000160;EC000161;EC000197;EC000198;EC00036;EC000125;EC0001256;EC0001257;EC000801;EC000802;EC000430;EC000431;EC000433;EC00024;EC000427;EC000560;EC000561;EC000562;EC000213;EC00022;EC00042;EC00086;EC00087;EC00088;EC000284;EC000285;EC000286;EC000287;EC00041;EC00045;EC00047;EC000444;EC000445;EC00049;EC0001258"
"Valine, leucine and isoleucine degradation","65","26","26","43.302","0.2038","0.31223","0.012513","100","1","1","1","0.963501","P34","EC00034;EC00035;EC00080;EC00036;EC00028;EC00030;EC000134;EC000135;EC000136;EC000137;EC000139;EC000179;EC000181;EC000162;EC000163;EC000164;EC000165;EC0001238;EC000232;EC000233;EC000234;EC00024;EC00045;EC00047;EC000742;EC000268;EC000269;EC000270;EC000271;EC000743;EC000744;EC00022;EC0001922;EC0001923;EC000284;EC000285;EC000286;EC000287;EC000368;EC000369;EC000370;EC000371;EC0002007"
"Starch and Sucrose Metabolism","33","21","20","26.647","0.21613","0.36325","0.012996","0","0","1","1","0.987696","P35","EC000511;EC000512;EC000513;EC000514;EC000126;EC000127;EC000103;EC000104;EC000105;EC000106;EC000107;EC00037;EC0001858;EC0001859;EC000941;EC000108;EC000109;EC000111;EC000112;EC000902;EC000645;EC00023;EC00038;EC00039;EC00040;EC000637;EC000217"
"Keratan sulfate biosynthesis","66","7","6","9.16","0.23865","0.51362","0.013932","0","0","1","1","1","P36","EC000167;EC000168;EC00060;EC00061;EC00062;EC00063;EC00023;EC00059;EC00037;EC00048"
"Nitrogen metabolism","6","4","4","9.16","0.23865","0.51362","0.013932","100","1","1","1","1","P37","EC00034;EC00035;EC000199;EC000200;EC000201;EC00073;EC00074;EC00075;EC00052;EC00054"
"Purine metabolism","80","60","55","95.763","0.24578","0.31998","0.014243","100","1","1","1","1","P38","EC000402;EC000403;EC00034;EC00035;EC00028;EC00030;EC000396;EC000397;EC000398;EC00059;EC000185;EC000186;EC000187;EC000715;EC0001191;EC0001192;EC0001146;EC000125;EC000252;EC000253;EC000254;EC000256;EC000761;EC0001127;EC000159;EC000558;EC000192;EC0001190;EC000847;EC000848;EC000849;EC000548;EC000549;EC000550;EC000551;EC000552;EC000553;EC000171;EC000862;EC000864;EC000272;EC000515;EC000160;EC000161;EC000919;EC000920;EC000921;EC000322;EC000323;EC000324;EC00041;EC0001073;EC000880;EC00049;EC000153;EC00086;EC00087;EC00088;EC000169;EC0001477;EC0001478;EC000924;EC0001205;EC0001210;EC0001166;EC0001216;EC0001217;EC000278;EC000279;EC000148;EC000150;EC000152;EC000304;EC000305;EC000421;EC000422;EC000319;EC000629;EC000630;EC000617;EC00073;EC00074;EC00075;EC000414;EC000415;EC000416;EC000417;EC00033;EC00052;EC00054;EC0001142;EC00082"
"Galactose metabolism","41","39","39","52.462","0.27207","0.38024","0.01546","0","0","1","1","1","P39","EC000125;EC0001264;EC0001265;EC00039;EC00040;EC000103;EC000104;EC000105;EC000106;EC000107;EC000176;EC000177;EC000178;EC00037;EC000108;EC000109;EC000111;EC000112;EC0001269;EC0001270;EC0001271;EC0001272;EC0001273;EC0001274;EC0001275;EC000511;EC000512;EC000513;EC000514;EC000825;EC000236;EC000144;EC000145;EC000247;EC000249;EC0001266;EC0001268;EC000387;EC000388;EC00072;EC000902;EC00038;EC000664;EC000666;EC000142;EC00023;EC000637;EC00090;EC000584;EC000585;EC000586"
"Lysine metabolism","52","28","27","52.462","0.27207","0.38024","0.01546","100","1","1","1","1","P40","EC00034;EC00035;EC00036;EC00032;EC00028;EC00030;EC000350;EC000351;EC000487;EC000489;EC0001314;EC0001315;EC0001311;EC0001312;EC0001313;EC0001055;EC0001056;EC0001057;EC0001058;EC00024;EC000560;EC000561;EC000562;EC000344;EC00026;EC00050;EC00051;EC00022;EC000810;EC000811;EC000727;EC000728;EC000438;EC000439;EC0001474;EC000284;EC000285;EC000286;EC000287;EC000481;EC000482;EC000483;EC000484;EC000486;EC00045;EC00047;EC000816;EC000817;EC0001140;EC0001141;EC000846"
"Biopterin metabolism","22","18","18","24.982","0.27478","0.4382","0.015591","0","0","1","1","1","P41","EC000183;EC0001852;EC0001854;EC0001425;EC0001423;EC0001424;EC000313;EC000314;EC0001227;EC000677;EC0001074;EC0001853;EC00096;EC00097;EC00098;EC0001651;EC0001652;EC000308;EC000309;EC000310;EC00099;EC000100;EC000101;EC000472;EC00049"
