"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Riboflavin metabolism","4","4","1","2.4411","0.93706","1",NA,"0","0","1","1",NA,"P55","EC000611"
"Purine metabolism","70","62","22","28.073","0.95255","0.97104",NA,"0","0","1","1",NA,"P56","EC000127;EC000129;EC00057;EC000919;EC00013;EC000148;EC000220;EC000223;EC000352;EC000733;EC000165;EC000268;EC000245;EC000246;EC000369;EC000231;EC000527;EC000685;EC0001413;EC000356;EC0001126"
"Glycine, serine and threonine metabolism","30","22","9","13.914","0.95629","0.98005",NA,"100","1","1","1",NA,"P57","EC00063;EC000203;EC000266;EC000194;EC000289;EC000831;EC000101;EC000113;EC000117"
"Arginine and proline metabolism","35","33","9","16.6","0.96109","0.98101",NA,"100","1","1","1",NA,"P58","EC00053;EC000289;EC000377;EC000378;EC000618;EC000741;EC000742;EC000172;EC000643;EC000573;EC000574"
"Galactose metabolism","27","26","14","7.5675","0.96229","0.98915",NA,"0","0","1","1",NA,"P59","EC00091;EC00024;EC000972;EC000968"
"Caffeine metabolism","10","10","2","3.1734","0.97267","1",NA,"100","1","1","1",NA,"P60","EC00024"
"Pentose phosphate pathway","23","23","8","12.45","0.97874","0.99205",NA,"100","1","1","1",NA,"P61","EC000127;EC000129;EC000965;EC000966;EC000264;EC000266;EC000752"
"Citrate cycle (TCA cycle)","16","14","2","5.3704","0.98205","0.99774",NA,"100","1","1","1",NA,"P62","EC00064;EC000383"
"Amino sugar and nucleotide sugar metabolism","39","38","13","14.403","0.98608","0.99467",NA,"2","0.02","1","1",NA,"P63","EC000157;EC0001116;EC000338;EC00024;EC000612;EC000840;EC000148;EC0001400"
"Lipoic acid metabolism","17","9","1","4.1499","0.99104","1",NA,"100","1","1","1",NA,"P64","EC00064"
"Inositol phosphate metabolism","21","19","2","6.1028","0.99132","0.99903",NA,"100","1","1","1",NA,"P65","EC00024;EC000693"
"Glycolysis or Gluconeogenesis","23","19","3","6.591","0.9947","0.99944",NA,"100","1","1","1",NA,"P66","EC00064;EC00024"
"Fructose and mannose metabolism","20","19","5","7.3233","0.99749","0.99976",NA,"100","1","1","1",NA,"P67","EC00024;EC000612"
