"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Folate biosynthesis","26","22","16","20.565","0.78155","0.87986","0.22727","0","0","1","1","1","P49","EC000381;EC000269;EC000271;EC0001096;EC0001094;EC000580;EC000581;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000276;EC000277;EC000828"
"Arginine and proline metabolism","35","33","29","49.944","0.78226","0.84984","0.22783","100","1","1","1","1","P50","EC00053;EC00054;EC000475;EC000289;EC000290;EC000291;EC00073;EC00074;EC000298;EC00011;EC000533;EC000462;EC000322;EC000323;EC000324;EC000325;EC000376;EC000377;EC000378;EC0001099;EC0001100;EC000739;EC000740;EC000741;EC000742;EC000397;EC000399;EC000169;EC000170;EC000172;EC00019;EC00020;EC000834;EC0001102;EC0001103;EC000643;EC000644;EC000781;EC000201;EC000573;EC000574;EC000814;EC000815;EC000816;EC000859;EC000861;EC00018"
"Biotin metabolism","4","3","3","6.6103","0.78444","0.92851","0.22959","0","0","1","1","1","P51","EC000136;EC0001090;EC0001092;EC0001093;EC00035;EC00036"
"Glycerolipid metabolism","7","6","6","8.8137","0.78661","0.91732","0.23136","100","1","1","1","1","P52","EC00095;EC00096;EC000206;EC000266;EC000121;EC000122;EC000213;EC000215"
"Phosphonate and phosphinate metabolism","4","2","2","4.4069","0.7889","0.94732","0.23325","100","1","1","1","1","P53","EC0001148;EC0001150;EC0001061;EC0001062"
"Selenocompound metabolism","16","5","4","4.4069","0.7889","0.94732","0.23325","0","0","1","1","1","P54","EC0001063;EC0001064;EC00028;EC00029"
"Mannose type O-glycan biosynthesis","3","3","3","4.4069","0.7889","0.94732","0.23325","0","0","1","1","1","P55","EC000548;EC00056;EC000631;EC000632"
"Fatty acid degradation","35","13","8","11.017","0.79145","0.91066","0.23537","0","0","1","1","1","P56","EC000798;EC000182;EC000251;EC000252;EC000820;EC000821;EC0007;EC000947;EC000948;EC000949"
"Fatty acid biosynthesis","9","7","7","13.221","0.79745","0.90683","0.24049","100","1","1","1","1","P57","EC000251;EC000252;EC000194;EC0001138;EC0001139;EC000801;EC000802;EC000804;EC000717;EC0001135;EC0001136;EC000182"
"Drug metabolism - other enzymes","28","17","14","24.238","0.83024","0.90642","0.27162","0","0","1","1","1","P58","EC0001320;EC0001319;EC0001324;EC0001325;EC0001326;EC0001203;EC0001206;EC0001402;EC0001405;EC0001327;EC000895;EC0001408;EC0001178;EC0001179;EC0001180;EC0001317;EC0001318;EC0001316;EC0001407;EC000257;EC000258;EC000259"
"Metabolism of xenobiotics by cytochrome P450","68","41","34","45.537","0.84072","0.89683","0.28288","96","0.96","1","1","1","P59","EC0001240;EC0001241;EC0001224;EC0001227;EC0001251;EC0001128;EC0001131;EC0001229;EC0001230;EC0001232;EC0001368;EC0001369;EC0001152;EC0001153;EC0001358;EC000558;EC0001222;EC0001242;EC0001243;EC0001245;EC0001252;EC0001239;EC0001246;EC0001247;EC000823;EC000824;EC000825;EC000680;EC000681;EC000683;EC0001370;EC0001372;EC0001364;EC0001365;EC0001366;EC0001204;EC0001373;EC0001362;EC0001363;EC0001359;EC0001360;EC0001361"
"Caffeine metabolism","10","10","9","9.5482","0.88214","0.95977","0.33578","100","1","1","1","1","P60","EC00024;EC00025;EC0001273;EC0001167;EC0001169;EC0001274;EC0001275;EC0001277"
"Pentose and glucuronate interconversions","18","18","15","19.831","0.90582","0.95649","0.37435","100","1","1","1","1","P61","EC00022;EC00086;EC00087;EC00088;EC000264;EC000265;EC000127;EC000128;EC000129;EC000137;EC000138;EC000631;EC000632;EC000212;EC000771;EC000772;EC000548"
"Tryptophan metabolism","41","35","28","61.696","0.9432","0.96462","0.45674","100","1","1","1","1","P62","EC00075;EC00076;EC00077;EC000723;EC000538;EC000539;EC0001035;EC0001036;EC0001038;EC0001040;EC000507;EC000508;EC000509;EC000805;EC000806;EC000807;EC000808;EC000303;EC000304;EC000305;EC000885;EC000886;EC000887;EC000897;EC000900;EC000493;EC000310;EC000311;EC000312;EC000495;EC000496;EC000497;EC000498;EC0001051;EC0001052;EC000594;EC000596;EC000598;EC000375;EC000321;EC0001044;EC0001045;EC0001047;EC0001056;EC0001057;EC0001059;EC000768;EC000111;EC000112;EC0001043;EC000680;EC000681;EC000683;EC0001133;EC0001134"
"Nicotinate and nicotinamide metabolism","15","14","11","22.034","0.956","0.98115","0.49539","100","1","1","1","1","P63","EC00037;EC00039;EC000567;EC000872;EC0001080;EC000666;EC000667;EC000828;EC000178;EC000179;EC000180;EC000181;EC000811;EC000257;EC000258;EC000259;EC0001082;EC0001084"
"Pentose phosphate pathway","23","23","23","37.458","0.95604","0.97692","0.49551","100","1","1","1","1","P64","EC00086;EC00087;EC00088;EC000735;EC000523;EC000524;EC000127;EC000128;EC000129;EC000137;EC000138;EC000121;EC000122;EC000965;EC000966;EC000967;EC000341;EC000342;EC000330;EC000332;EC000674;EC000264;EC000265;EC000216;EC000218;EC000266;EC000753;EC000754;EC000132;EC000278;EC000213;EC000215"
"Lipoic acid metabolism","17","9","6","12.486","0.97725","0.99355","0.58506","100","1","1","1","1","P65","EC0001264;EC00018;EC00064;EC00021;EC000303;EC000304;EC000305;EC000161;EC000162"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","10.283","0.9817","0.99566","0.61138","100","1","1","1","1","P66","EC000189;EC000190;EC00078;EC00079;EC00080;EC00081;EC00082"
"Purine metabolism","70","62","48","84.465","0.9895","0.99372","0.67187","0","0","1","1","1","P67","EC00026;EC000362;EC000364;EC000365;EC000127;EC000128;EC000129;EC00057;EC00058;EC00059;EC000132;EC000891;EC000906;EC000907;EC000908;EC000925;EC000926;EC000919;EC0006;EC00013;EC00016;EC000884;EC000148;EC000219;EC000220;EC000221;EC000222;EC000223;EC000350;EC000352;EC000463;EC000465;EC000466;EC000468;EC0001001;EC0001002;EC0001003;EC000733;EC000164;EC000165;EC000166;EC000512;EC000267;EC000268;EC000280;EC000281;EC000245;EC000246;EC000369;EC000370;EC000590;EC00048;EC000231;EC000232;EC000896;EC000685;EC000686;EC000292;EC000293;EC000168;EC0001127;EC0001214;EC0001410;EC0001413;EC0001416;EC000356;EC000357;EC000150;EC000687;EC0001125;EC0001126;EC0001419;EC0001421"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","5","2","9.5482","0.998","0.99971","0.80319","100","1","1","1","1","P68","EC000185;EC000186;EC000187;EC00081;EC00082"
"Tyrosine metabolism","42","42","31","69.775","0.99996","0.99998","0.94193","100","1","1","1","1","P69","EC000544;EC000545;EC000547;EC0001018;EC0001019;EC000296;EC000297;EC0001007;EC0001032;EC000874;EC000875;EC000504;EC0001014;EC0001015;EC0001024;EC0001026;EC0001028;EC000343;EC000345;EC000347;EC000630;EC00081;EC00082;EC000790;EC000619;EC000620;EC000877;EC000878;EC000430;EC000431;EC000432;EC0001010;EC000185;EC000186;EC000187;EC0001021;EC000476;EC000478;EC000787;EC000788;EC00018;EC000139;EC000140;EC000113;EC000114;EC000115;EC000116;EC000118;EC000554;EC000555;EC000737;EC000491"
