"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Folate biosynthesis","26","22","19","20.705","0.50058","0.66133","0.095971","0","0","1","1","1","P41","EC000381;EC000269;EC000271;EC000562;EC000563;EC0001096;EC0001094;EC000581;EC000928;EC000164;EC000165;EC000166;EC0001097;EC0001098;EC0001377;EC0001256;EC0001257;EC000276;EC000277;EC000828;EC0001401"
"Pantothenate and CoA biosynthesis","18","15","13","31.058","0.53017","0.66019","0.10423","82","0.82","1","1","1","P42","EC000560;EC000561;EC000568;EC000569;EC000175;EC000176;EC000177;EC000393;EC000394;EC000395;EC000396;EC000203;EC000204;EC00037;EC00039;EC0007;EC000848;EC000849;EC000851;EC000852;EC000853;EC000100;EC000101;EC000102;EC00028;EC00029;EC000107;EC000108;EC000158;EC000160;EC0006"
"Pentose and glucuronate interconversions","18","18","17","19.966","0.54741","0.70484","0.10943","100","1","1","1","1","P43","EC00022;EC00085;EC00086;EC00087;EC00088;EC000264;EC000265;EC000127;EC000128;EC000129;EC000137;EC000138;EC000361;EC000631;EC000632;EC000212;EC000771;EC000772;EC000773;EC000548"
"Starch and sucrose metabolism","12","12","12","11.832","0.55594","0.75182","0.11212","0","0","1","1","1","P44","EC00090;EC00091;EC00092;EC00023;EC00024;EC00022;EC00085;EC00086;EC00087;EC00088;EC000341;EC000342"
"Citrate cycle (TCA cycle)","16","14","12","16.268","0.61766","0.7757","0.13416","100","1","1","1","1","P45","EC00021;EC00064;EC00030;EC00032;EC000962;EC000963;EC000188;EC00027;EC000173;EC000174;EC000383;EC00018;EC000139;EC000140;EC00068;EC00070"
"Fatty acid degradation","35","13","8","11.092","0.61781","0.8024","0.13422","0","0","1","1","1","P46","EC000798;EC000182;EC000251;EC000252;EC000820;EC000821;EC000822;EC0007;EC000947;EC000948;EC000949"
"Fatty acid biosynthesis","9","7","7","13.31","0.64516","0.80918","0.1457","100","1","1","1","1","P47","EC000251;EC000252;EC000194;EC0001138;EC0001139;EC000801;EC000802;EC000804;EC000715;EC000717;EC0001135;EC0001136;EC000182"
"Glycolysis or Gluconeogenesis","23","19","18","19.966","0.70778","0.83064","0.17706","100","1","1","1","1","P48","EC00064;EC00018;EC000206;EC00068;EC00070;EC000213;EC000215;EC000121;EC000122;EC000341;EC000342;EC00085;EC00086;EC00087;EC00088;EC00023;EC00024;EC00027;EC000241"
"Arginine and proline metabolism","35","33","30","50.284","0.72675","0.80556","0.18828","100","1","1","1","1","P49","EC00053;EC00054;EC000475;EC000289;EC000290;EC000291;EC00073;EC00074;EC000151;EC000298;EC00011;EC000533;EC000462;EC000322;EC000323;EC000324;EC000325;EC000376;EC000377;EC000378;EC0001099;EC0001100;EC000739;EC000740;EC000741;EC000742;EC000397;EC000399;EC000169;EC000170;EC000172;EC00019;EC00020;EC000834;EC0001102;EC0001103;EC000643;EC000644;EC000781;EC000201;EC000573;EC000574;EC000814;EC000815;EC000816;EC000859;EC000861;EC00018"
"Fatty acid elongation","28","9","6","7.3947","0.72687","0.89552","0.18836","0","0","1","1","1","P50","EC000182;EC000949;EC000798;EC000948;EC000947;EC000251;EC000252"
"Vitamin B6 metabolism","9","9","8","14.05","0.76637","0.8864","0.21504","100","1","1","1","1","P51","EC0001122;EC000489;EC000296;EC000297;EC00010;EC000253;EC000255;EC000256;EC000456;EC000457;EC0001119;EC000565;EC000566"
"Inositol phosphate metabolism","21","19","19","18.487","0.78893","0.88933","0.23269","100","1","1","1","1","P52","EC000676;EC000678;EC000688;EC000341;EC000342;EC00085;EC00086;EC00087;EC00088;EC00023;EC00024;EC000691;EC000693;EC00018;EC000121;EC000122;EC000212"
"Selenocompound metabolism","16","5","4","4.4368","0.79738","0.9505","0.23984","0","0","1","1","1","P53","EC0001063;EC0001064;EC00028;EC00029"
"Mannose type O-glycan biosynthesis","3","3","3","4.4368","0.79738","0.9505","0.23984","0","0","1","1","1","P54","EC000548;EC00056;EC000631;EC000632"
"Glycerolipid metabolism","7","6","6","8.8737","0.79827","0.92345","0.24061","100","1","1","1","1","P55","EC00095;EC00096;EC000206;EC000266;EC000121;EC000122;EC000213;EC000215"
"Ascorbate and aldarate metabolism","8","8","7","11.092","0.8042","0.91785","0.24585","100","1","1","1","1","P56","EC00023;EC00024;EC00022;EC000216;EC000218;EC000800;EC000264;EC000265;EC000212;EC000552"
"Pentose phosphate pathway","23","23","23","37.713","0.80931","0.87928","0.2505","100","1","1","1","1","P57","EC00085;EC00086;EC00087;EC00088;EC000735;EC000523;EC000524;EC000127;EC000128;EC000129;EC000137;EC000138;EC000121;EC000122;EC000965;EC000966;EC000967;EC000341;EC000342;EC000330;EC000332;EC000673;EC000674;EC000264;EC000265;EC000216;EC000218;EC000266;EC000753;EC000754;EC000132;EC000133;EC000278;EC000213;EC000215"
"Nicotinate and nicotinamide metabolism","15","14","12","22.184","0.8398","0.91553","0.28122","100","1","1","1","1","P58","EC00037;EC00039;EC000567;EC000872;EC0001079;EC0001080;EC000666;EC000667;EC000828;EC000178;EC000179;EC000180;EC000181;EC000811;EC0004;EC000257;EC000258;EC000259;EC0001082;EC0001084"
"Metabolism of xenobiotics by cytochrome P450","68","41","36","45.847","0.8619","0.91238","0.30738","99","0.99","1","1","1","P59","EC0001240;EC0001241;EC0001224;EC0001227;EC0001251;EC0001128;EC0001131;EC0001230;EC0001232;EC0001368;EC0001369;EC0001152;EC0001153;EC0001358;EC000558;EC0001222;EC0001242;EC0001243;EC0001244;EC0001245;EC0001253;EC0001252;EC0001239;EC0001246;EC0001247;EC0001228;EC000823;EC000824;EC000825;EC000681;EC000683;EC0001370;EC0001364;EC0001365;EC0001366;EC0001204;EC0001373;EC0001362;EC0001363;EC0001359;EC0001360;EC0001361"
