"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Glyoxylate and Dicarboxylate Metabolism","12","7","6","8.8588","0.43734","0.62686","0.026238","100","1","1","1","1","P39","EC000141;EC000142;EC000244;EC000303;EC000159;EC000219;EC000738;EC000740;EC000741"
"Glycosphingolipid metabolism","67","37","24","29.182","0.44008","0.54484","0.026479","0","0","1","1","1","P40","EC000565;EC00039;EC000380;EC000381;EC000383;EC00037;EC000288;EC000289;EC000345;EC000346;EC0001466;EC000525;EC0001033;EC00061;EC00062;EC00063;EC0001463;EC00038;EC00023;EC00024;EC00076;EC00077;EC0001588;EC000178;EC000176;EC000679;EC0001589;EC000923"
"Vitamin B6 (pyridoxine) metabolism","11","7","6","7.8166","0.44102","0.64208","0.026562","100","1","1","1","1","P41","EC000290;EC000292;EC000293;EC00025;EC000539;EC000341;EC000593;EC000682"
"Nucleotide Sugar Metabolism","7","5","2","5.7322","0.44919","0.68103","0.027297","0","0","1","1","1","P42","EC000104;EC000105;EC000106;EC000107;EC000241;EC000242"
"Nitrogen metabolism","6","4","4","5.7322","0.44919","0.68103","0.027297","100","1","1","1","1","P43","EC00034;EC00035;EC000200;EC000201;EC00073;EC00052"
"Chondroitin sulfate degradation","37","6","5","4.6899","0.45381","0.70721","0.027723","100","1","1","1","1","P44","EC00039;EC000243;EC000178;EC000176;EC000159"
"O-Glycan biosynthesis","16","6","3","4.6899","0.45381","0.70721","0.027723","0","0","1","1","1","P45","EC00023;EC00061;EC00062;EC00063;EC00037"
"Proteoglycan biosynthesis","27","9","4","4.6899","0.45381","0.70721","0.027723","0","0","1","1","1","P46","EC00037;EC00023;EC000599;EC000241;EC000242"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","3","1","3.6477","0.45894","0.74103","0.028205","0","0","1","1","1","P47","EC000104;EC000105;EC000106;EC000107"
"Electron transport chain","7","2","2","3.6477","0.45894","0.74103","0.028205","0","0","1","1","1","P48","EC000430;EC000431;EC000427;EC000428"
"Vitamin B12 (cyanocobalamin) metabolism","9","2","2","1.5633","0.47185","0.86019","0.029459","0","0","1","1","1","P49","EC00032;EC00026"
"Hexose phosphorylation","20","18","16","17.718","0.48014","0.61408","0.030299","15","0.15","1","1","1","P50","EC00038;EC00039;EC000360;EC000363;EC000105;EC000106;EC000107;EC000104;EC000171;EC000109;EC000215;EC000664;EC000666;EC000778;EC000384;EC000385;EC000386"
"Sphingolipid metabolism","3","1","1","0.5211","0.48123","1","0.030412","0","0","1","1","1","P51","EC0001033"
"1- and 2-Methylnaphthalene degradation","4","2","2","0.5211","0.48123","1","0.030412","100","1","1","1","1","P52","EC0001610"
"Pentose phosphate pathway","37","35","34","30.745","0.48807","0.58965","0.031128","0","0","1","1","1","P53","EC000159;EC000317;EC000318;EC000376;EC000378;EC000926;EC000148;EC000150;EC00028;EC000956;EC000301;EC000247;EC000104;EC000105;EC000106;EC000107;EC000384;EC000385;EC000386;EC000141;EC000142;EC000153;EC000315;EC000480;EC000825;EC00038;EC00039;EC000629;EC000335"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","10","7","13.549","0.50091","0.65231","0.032526","0","0","1","1","1","P54","EC00028;EC000144;EC000145;EC0001102;EC0001103;EC0001105;EC000689;EC000675;EC000676;EC000694;EC000121;EC000122;EC000123"
"Leukotriene metabolism","92","42","23","36.477","0.51749","0.60981","0.03444","0","0","1","1","1","P55","EC00028;EC0002020;EC0001760;EC000731;EC000732;EC000733;EC0001795;EC0001796;EC0001798;EC0001792;EC0001793;EC000261;EC000262;EC000263;EC00035;EC00034;EC000452;EC000453;EC000454;EC0001751;EC0002011;EC0002013;EC0001935;EC000701;EC000702;EC000703;EC000966;EC0001950;EC0001433;EC0001434;EC0001953;EC0002023;EC0002021;EC0002022"
